"PPMessage","PPMessage | 开源、即插即用、开放的企业消息通讯平台"
"site_description","PPMessage - 开源、即插即用、开放的企业消息通讯平台"
"site_keywords","PPMessage,PP消息,PP客服,在线客服,开源客服,人工客服,客服软件,客服平台,手机客服,智能客服,客服系统,客服机器人,客服SDK,应用内客服,开源智齿,开源环信,开源融云,Intercom,Layer,开源微信,企业微信,企业即时通讯,开源CRM,Python IM,Python 微信,开源企业微信,开源企业即时通讯,企业消息,通讯平台"
"online_service_platform","企业消息平台"

"menu_main","首页"
"menu_doc","文档"
"menu_download","下载"

"company_name","北京优锐科技有限公司"
"site_record_number","京ICP备13021343号-2"
"service_terms","服务条款"
"privacy_policy","隐私政策"

"slogan","即插即用企业消息通讯平台"
"simple_slogan","即插即用企业消息通讯平台"

"get_started","开始使用PPMessage"
"get_started_free","免费开始使用PPMessage"

"blog",博客
"bbs",论坛
"forum",论坛
"today",今天

"get_ppmessage","下载PPMessage"
"download_ppmessage","下载 PPMessage"
"install_ppmessage","安装PPMessage，时刻保持沟通"

"scan_qrcode","扫描二维码下载应用"
"download_directly": "直接下载"
"comming_soon", "即将推出"

"three_steps_integration","三步集成PPMessage进行消息沟通"
"three_steps_register","注册团队"
"three_steps_embedded","嵌入一行代码"
"three_steps_chat","开始沟通"